PARCELA;DAP
1;15
1;13
1;15
1;13,5
1;15
1;14
1;16
1;15
1;13,5
1;15
1;15
1;14,5
1;16
1;14
1;16
1;10
1;15
1;15
1;16
1;12
1;15
1;15
1;13
1;13
1;13,5
1;14
1;13
1;13
1;15
1;14
1;15
1;13
1;14
1;14
1;14,5
1;15
1;16
1;15
1;15
1;13,5
1;15
1;15
1;14
1;14
1;14
1;14
1;15
1;15
1;10
1;15
1;14,5
1;14
1;13
1;14
1;14,5
1;13
1;13
1;13,5
1;14
1;14
1;13,5
1;15,5
1;14
1;14,5
1;14
1;13,5
1;12
1;16,5
1;15
1;15,5
1;13
1;13,5
1;14
1;14
1;13,5
1;14
1;13,5
1;12,5
1;14
1;14
1;15,5
1;15
1;13
1;14,5
1;14,5
1;15,5
1;15
1;14
1;12
1;16
2;13
2;14,5
2;14,5
2;15
2;12
2;15
2;13,5
2;15
2;14
2;14
2;15,5
2;15
2;16
2;15,5
2;13
2;14
2;15
2;16
2;16
2;14,5
2;17,5
2;17
2;15
2;16,5
2;14
2;13
2;13
2;14
2;15,5
2;15
2;16
2;14,5
2;15
2;13
2;13,5
2;12
2;14
2;15,5
2;15
2;15
2;12
2;15
2;15
2;14
2;17
2;9
2;13,5
2;17
2;14
2;13
2;15,5
2;12,5
2;15
2;16
2;17
2;15,5
2;14,5
2;15,5
2;15
2;14
2;14
2;15
2;14
2;15
2;13
2;14
2;14
2;15
2;13
2;11,5
2;13
2;14,5
2;14
2;16
2;9,5
2;15,5
2;15,5
2;15
2;15
2;15
2;16
2;15
2;15
2;14,5
2;14
2;13
2;13
2;13
2;16
3;13
3;14
3;13
3;13
3;11,5
3;12
3;13,5
3;13
3;9
3;13
3;12
3;12
3;12
3;11,5
3;12,5
3;13,5
3;13
3;13,5
3;12,5
3;14,5
3;13
3;14
3;13,5
3;12
3;13
3;13
3;14
3;11,5
3;12,5
3;13
3;12
3;14
3;12
3;13
3;14
3;13,5
3;13,5
3;13
3;13
3;12,5
3;13
3;13
3;13
3;13
3;13
3;12
3;12
3;13
3;12
3;11
3;14
3;11,5
3;10,5
3;13
3;14
3;13
3;14
3;13,5
3;13,5
3;11,5
3;12
3;13,5
3;13
3;11,5
3;12
3;13,5
3;12,5
3;12
3;11
3;13
3;14
3;13,5
3;13
3;13
3;14
3;14
3;13
3;11,5
3;13
3;13
3;14
3;13,5
3;14
3;13
3;12,5
3;14,5
3;13
3;15
3;13
4;13
4;11
4;12,5
4;12,5
4;13
4;13
4;10,5
4;12
4;13
4;12
4;13
4;13
4;12
4;11
4;11,5
4;11,5
4;11,5
4;11
4;11
4;11
4;13
4;12
4;13
4;12
4;12
4;12
4;12,5
4;12
4;13
4;11,5
4;10,5
4;11,5
4;12,5
4;12,5
4;9,5
4;10
4;10
4;12
4;12
4;12
4;11,5
4;11,5
4;13
4;13
4;11
4;11,5
4;11
4;12
4;13
4;13
4;11
4;12
4;13
4;13
4;12,5
4;13,5
4;12
4;11
4;12
4;12,5
4;12,5
4;12,5
4;12,5
4;13,5
4;12,5
4;13
4;13
4;13
4;12
4;13
4;13,5
4;13
4;12
4;13
4;13
4;13
4;12,5
4;11,5
4;12,5
4;12,5
4;12
4;12,5
4;10
4;15
4;13
4;13,5
4;15,5
4;14
4;13,5
4;15
5;12,5
5;12
5;14
5;12,5
5;12
5;12
5;12,5
5;10,5
5;11
5;13,5
5;12
5;13
5;12
5;13
5;13
5;12
5;11,5
5;12,5
5;14
5;13
5;13
5;11
5;13
5;13
5;13
5;14
5;14
5;14
5;14,5
5;13
5;13
5;13
5;13
5;13
5;12
5;12,5
5;12
5;13
5;13,5
5;5
5;13
5;12,5
5;13,5
5;12
5;13
5;12
5;14
5;12,5
5;13
5;12
5;12,5
5;13
5;12
5;13
5;12,5
5;13
5;11,5
5;13,5
5;11
5;12
5;13
5;11
5;14
5;14
5;13
5;13
5;12,5
5;13,5
5;11
5;13,5
5;13
5;12,5
5;13
5;12
5;12
5;12
5;12
5;12,5
5;13
5;13
5;12
5;13
5;12,5
5;13,5
5;13
5;13
5;12,5
5;13
5;13
5;16
7;15,5
7;15
7;11
7;15
7;16
7;13,5
7;13
7;14
7;14,5
7;15,5
7;16
7;16
7;13,5
7;15
7;15
7;15,5
7;15
7;15
7;16
7;14
7;14,5
7;15,5
7;15,5
7;16
7;15,5
7;15
7;14
7;15,5
7;15,5
7;15
7;15,5
7;14
7;15,5
7;15
7;14
7;16
7;12
7;14
7;14,5
7;12,5
7;15
7;15,5
7;13,5
7;14,5
7;14
7;16
7;14
7;12
7;14,5
7;16
7;14
7;14
7;13,5
7;15
7;16
7;14,5
7;17
7;16,5
7;15,5
7;13
7;16
7;16
7;16,5
7;15
7;13
7;16
7;10
7;16
7;16,5
7;14
7;13
7;14
7;16
7;16
7;13,5
7;17
7;16
7;14,5
7;15,5
7;15,5
7;15
7;15
7;13
7;14,5
7;16
7;13
7;15
7;14,5
7;14,5
8;15
8;16
8;14,5
8;15,5
8;16
8;13,5
8;14,5
8;15,5
8;14
8;13
8;16
8;13
8;14
8;15
8;13,5
8;15,5
8;12
8;14
8;16
8;15
8;16
8;15,5
8;15,5
8;14
8;16
8;16
8;16
8;14
8;13,5
8;14
8;14,5
8;15
8;16
8;15
8;15
8;15,5
8;14
8;14
8;12,5
8;13
8;14
8;15
8;13,5
8;12
8;13
8;15
8;14,5
8;15,5
8;15,5
8;15,5
8;14
8;14
8;15,5
8;14
8;14
8;14,5
8;13
8;15
8;16
8;13,5
8;12,5
8;14,5
8;14,5
8;15
8;14
8;15,5
8;15
8;15,5
8;15
8;13
8;14
8;14
8;16
8;15
8;15,5
8;15,5
8;14,5
8;16
8;14
8;15,5
8;16
8;14
8;16
8;15
8;13
8;13,5
8;15,5
8;14
8;13,5
8;15
9;13
9;13
9;15
9;14
9;12
9;14
9;12,5
9;13
9;7,5
9;15,5
9;14
9;11,5
9;12
9;13,5
9;12,5
9;14,5
9;12,5
9;15
9;13
9;13
9;14
9;10
9;14
9;13,5
9;12
9;13
9;14
9;14
9;14
9;14
9;13
9;15
9;14
9;11,5
9;15
9;13
9;13
9;14
9;12,5
9;12
9;15
9;16
9;15
9;14,5
9;15,5
9;14
9;14
9;14,5
9;13
9;11
9;15
9;13,5
9;13,5
9;13,5
9;13,5
9;13,5
9;14,5
9;12,5
9;15
9;12
9;14
9;15
9;14
9;14
9;14
9;12
9;12
9;13
9;13
9;14
9;14,5
9;15,5
9;14,5
9;14
9;13
9;15,5
9;14,5
9;14,5
9;15
9;13
9;14,5
9;12
9;13
9;14
9;15
9;14,5
9;14,5
9;13,5
9;14
10;15,5
10;12,5
10;15
10;14
10;11,5
10;16
10;14
10;13
10;14
10;13,5
10;14
10;13
10;13
10;13
10;14
10;13,5
10;15,5
10;14,5
10;14
10;15
10;13
10;15,5
10;15
10;14,5
10;14
10;13
10;13
10;14
10;14
10;13
10;13
10;14
10;14
10;14
10;15
10;12,5
10;14
10;13,5
10;15
10;14,5
10;14
10;12,5
10;16
10;13
10;14
10;13
10;15
10;15
10;14
10;14
10;12,5
10;13,5
10;15
10;14
10;15,5
10;16
10;14,5
10;15
10;14
10;11
10;13
10;13,5
10;12
10;15
10;15
10;15,5
10;14,5
10;15
10;9,5
10;14,5
10;14,5
10;12
10;14
10;15
10;14
10;15
10;14
10;14
10;14
10;13
10;14
10;15
10;14
10;14
10;14
10;15
10;14,5
10;13
10;15
10;13
11;13,5
11;14
11;13
11;14
11;14
11;14
11;13
11;13
11;13
11;14
11;15
11;14
11;15
11;14,5
11;14
11;15
11;14,5
11;13,5
11;14,5
11;14
11;13
11;13,5
11;14,5
11;13
11;14
11;14
11;12
11;14
11;14,5
11;14,5
11;11,5
11;15
11;12,5
11;13
11;14
11;15,5
11;13,5
11;15
11;14
11;13
11;12
11;14
11;15
11;15
11;14
11;13
11;13,5
11;14
11;14
11;12,5
11;15
11;12,5
11;15
11;14
11;13
11;14
11;14
11;16
11;15
11;13
11;14
11;14
11;16
11;14
11;12
11;14
11;12
11;15
11;15
11;15
11;14
11;14
11;13
11;13
11;14
11;16
11;14
11;14
11;14
11;11
11;13
11;13
11;13,5
11;13
11;14,5
11;14
11;14
11;14
11;15
